"0"," 1"," 175"," 2127"," 15208"," 31507"," 36665"," 38159"," 39268"," 41425"," 46274"," 51526"," 55023"," 55714"," 56454"," 59745"
"0"," 0"," 243"," 773"," 1137"," 2535"," 5276"," 9513"," 13649"," 20875"," 38182"," 58316"," 78127"," 107167"," 125157"," 131085"
"0"," 1"," 716"," 4006"," 9394"," 13907"," 30394"," 44494"," 51530"," 57942"," 83199"," 99610"," 107339"," 113092"," 117192"," 122108"
"0"," 0"," 376"," 745"," 764"," 855"," 925"," 1176"," 2050"," 4756"," 6745"," 8049"," 9937"," 10866"," 12010"," 13232"
"0"," 0"," 7"," 27"," 86"," 284"," 1148"," 2654"," 4972"," 10805"," 15139"," 17553"," 19796"," 20807"," 22311"," 26652"
"0"," 0"," 7"," 24"," 26"," 69"," 91"," 94"," 101"," 128"," 141"," 159"," 234"," 730"," 1136"," 1232"
"0"," 0"," 1054"," 4428"," 16851"," 64530"," 191302"," 417735"," 751001"," 1166924"," 1424533"," 1625514"," 1927239"," 2107365"," 2348821"," 2977363"
"0"," 0"," 532"," 2066"," 9282"," 25542"," 38550"," 43781"," 50359"," 89813"," 135124"," 159409"," 167026"," 172058"," 192639"," 216064"
"0"," 0"," 80"," 106"," 107"," 108"," 113"," 113"," 113"," 114"," 117"," 118"," 118"," 118"," 123"," 124"
"4"," 4"," 2032"," 3025"," 3098"," 3203"," 3773"," 4063"," 4227"," 4425"," 4582"," 4928"," 5110"," 5180"," 5296"," 5481"
"0"," 0"," 17"," 28"," 29"," 29"," 33"," 33"," 33"," 38"," 53"," 75"," 98"," 105"," 108"," 166"
"2"," 9"," 743"," 1033"," 1058"," 1067"," 1084"," 1124"," 1157"," 1172"," 1202"," 1253"," 1310"," 1331"," 1477"," 1561"
"0"," 3"," 337"," 438"," 440"," 443"," 451"," 463"," 468"," 501"," 562"," 580"," 596"," 616"," 656"," 724"
"0"," 0"," 69"," 221"," 228"," 228"," 229"," 230"," 230"," 230"," 230"," 234"," 234"," 234"," 234"," 234"
"3"," 7"," 917"," 1364"," 1653"," 2231"," 10931"," 19138"," 20183"," 20346"," 20345"," 20376"," 20449"," 20481"," 20484"," 20521"
"0"," 2"," 364"," 551"," 589"," 611"," 666"," 655"," 685"," 769"," 821"," 861"," 903"," 913"," 944"," 1000"
"0"," 9"," 10180"," 15452"," 16731"," 17766"," 21130"," 27438"," 44813"," 104925"," 282456"," 360815"," 414398"," 459440"," 546229"," 618870"
"0"," 0"," 298"," 1804"," 5494"," 17524"," 31878"," 36435"," 40229"," 55269"," 121176"," 218700"," 230219"," 234537"," 261713"," 319109"
"0"," 0"," 14"," 81"," 102"," 104"," 574"," 2217"," 4123"," 6714"," 7541"," 7871"," 8174"," 8519"," 9119"," 10453"
"0"," 41"," 567"," 3040"," 11398"," 26758"," 40982"," 51972"," 70864"," 81645"," 86956"," 92675"," 103057"," 122394"," 144445"," 176934"
"0"," 0"," 51"," 7667"," 47153"," 145483"," 237661"," 312996"," 363479"," 407684"," 464932"," 513510"," 535139"," 546216"," 611295"," 759132"
"0"," 0"," 34"," 81"," 92"," 97"," 110"," 174"," 190"," 237"," 276"," 383"," 1545"," 3068"," 3652"," 3855"
"0"," 1"," 152"," 14027"," 42556"," 62118"," 67808"," 71843"," 78631"," 98482"," 136647"," 194284"," 248336"," 287306"," 321807"," 358738"
"0"," 1"," 12775"," 48519"," 58381"," 61427"," 68751"," 85236"," 118452"," 429229"," 577345"," 646496"," 710153"," 771511"," 882453"," 990229"
"0"," 0"," 3"," 18"," 18"," 24"," 48"," 1007"," 1992"," 3487"," 5854"," 10776"," 11908"," 12293"," 12456"," 12668"
"0"," 0"," 9"," 64"," 232"," 1199"," 1805"," 2145"," 2357"," 2643"," 3015"," 3251"," 3893"," 5434"," 7100"," 7821"
"0"," 0"," 4"," 7"," 43"," 77"," 101"," 225"," 282"," 349"," 410"," 670"," 859"," 867"," 873"," 1074"
"0"," 0"," 107"," 1167"," 9982"," 33219"," 76789"," 116598"," 135311"," 141757"," 144708"," 160124"," 216835"," 249010"," 272411"," 303732"
"0"," 0"," 420"," 1757"," 2510"," 4453"," 11876"," 19964"," 27469"," 50090"," 87901"," 110985"," 121497"," 130979"," 169626"," 198461"
"0"," 0"," 4"," 23"," 35"," 227"," 804"," 1633"," 3172"," 6642"," 10742"," 14805"," 21293"," 28371"," 39848"," 46934"
"0"," 2"," 5717"," 87187"," 514849"," 1402041"," 2662485"," 3908272"," 4810935"," 5535605"," 6335878"," 7675973"," 9204731"," 10551259"," 12748747"," 14659011"
